user_sha1	total_events	total_breaks	total_submit	total_snapshot	total_view	total_manipulate	n_puzzle	n_puz_no_basic	p_puz_no_basic	n_complete	n_tutorial	n_interm	n_adv	total_active	complete_active	incomplete_active	tutorial_atime_comp	int_atime_comp	adv_atime_comp	tutorial_atime_incomp	int_atime_incomp	adv_atime_incomp	cumu_a_time	persistence_score	non_per	productive	unproductive	rapid	no_beh	avg_revisit	n_attempt	n_failed_att	revisits	diff_event1	diff_event2	diff_event3	different_event	comp_mg1	comp_gmd4	comp_co5	comp_co6	consent	q8	q1_1	q1_2	q1_3	q1_4	q1_5	q1_6	q13_1	q13_2	q13_3	q13_4	q13_5	q14_1	q14_2	q14_3	q14_4	q14_5	q6	q7	q9	q10	q15	q16	sbst1	sbst2	sbst3	sbst4	sbst5	sbst6	sbst7	sbst8	sbst9	sbst10	sbst11	sbst12	sbst13	sbst14	sbst15	sbst16	sbst17	sbst18	sbst19	sbst20	sbst21	sbst22	sbst23	sbst24	sbst25	sbst26	sbst27	sbst28	sbst29	sbst30	sbst	age	gender	hand	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10	item11	item12	item13	item14	item15	item16	item17	item18	item19	item20	item21	item22	item23	item24	item25	item26	item27	item28	item29	item30	sri	mr	so	sv
5787ea1cb8ec38d1fe05510b4472ed73ab995578	768	25	25	0	31	170	9	2	0.0952381	2	2	0	0	1608.41	436.53	1171.88	436.53			1126.2	6.05	39.63	61.20111	62.19	0.1111111	0.1111111	0.1111111	0	0.6666667	0.375	10	8	3	80	14		94	0	0	0	0	Yes																								1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	16	Female	Right-handed	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	10	2	6	2
e76056103a0f740752859aec222102e77af132a4	25	1	4	0	0	6	2	0	0	2	2			99.96001	99.96001		99.96001						36.42	32.77	0	0	0	0	1		2	0	1	22			22	0	0	0	0	Yes	Yes	Somewhat agree	Strongly agree	Somewhat disagree	Neither agree nor disagree	Somewhat disagree	Neither agree nor disagree	Strongly Disagree	Neither disagree nor agree	Strongly Agree	Disagree	Agree	Strongly Agree	Agree	Neither disagree nor agree	Neither disagree nor agree	Strongly Agree	A few times a week	Seldom	An occasional video game player	Yes	B	I am at a point in my life where I am unmotivated to do it. But if I had to play Shadowspect in order to get a good grade, I would.	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	16	Female	Right-handed	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	24	9	9	6
61b6b2ed7c2d28f51122a5dcea07d30de9a8dfa7	1874	47	67	158	416	598	30	21	1	24	9	8	7	5390.9	4191.14	1199.76	867.07	2713.08	610.99		135.4	1064.36	49.28067	46.41067	0.0666667	0.1666667	0	0.1333333	0.6333333	0.625	40	16	10	105	125	146	376	0.57	0.53	0.586	0.56	Yes	No	Somewhat agree	Somewhat agree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Somewhat agree	Disagree	Strongly Agree	Agree	Agree	Neither disagree nor agree	Disagree	Disagree	Disagree	Strongly Disagree	Strongly Disagree	Every day, for 1-3 hours	Seldom	A frequent video game player	Yes	A		1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	23	15	Male	Right-handed	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	27	9	10	8
ace95c14c44d1cce2494ba11d81c297259d09c9a	1660	55	37	0	96	634	26	17	0.8095238	4	4	0	0	4017.7	630.62	3387.08	630.62			1827.33	1279.89	279.86	39.98269	39.90923	0.4230769	0.1153846	0.1153846	0	0.3461539	0.3030303	37	33	10	116	69	51	236	0	0	0	0	Yes	Yes	Strongly disagree	Strongly disagree	Somewhat agree	Strongly agree	Strongly disagree	Somewhat agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Disagree	Disagree	Disagree	Strongly Disagree	Not at all	Never	A non-video game player	No	A		0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	16	Female	Right-handed	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	16	3	8	5
2c510471bfc0d07085c7988ba837397b849f12d9	567	17	16	13	50	236	9	1	0.047619	7	7	0		1598.09	1191.57	406.52	1191.57			303.74	102.78		64.02556	63.07	0	0.4444444	0	0	0.5555556	0.3333333	10	3	1	98	9		107	0	0	0	0	Yes	Yes																							1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	11	17	Male	Right-handed	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	17	4	10	3
6b463921a37f03efe9c1713066edcfc1712589ed	8312	64	151	435	2186	2254	30	21	1	22	9	7	6	12355.2	7324.52	5030.68	2311.78	3725.29	1287.45		1783.95	3246.73	69.969	74.89667	0.0666667	0.5	0.1	0	0.3333333	0.9	112	90	81	143	153	189	485	0.304	0.372	0.356	0.352	Yes	Yes	Somewhat agree	Somewhat agree	Somewhat disagree	Neither agree nor disagree	Neither agree nor disagree	Somewhat agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Neither disagree nor agree	Disagree	Neither disagree nor agree	Neither disagree nor agree	Strongly Disagree	Strongly Disagree	A few times a week	Seldom	A novice video game player	Yes	A		1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	11	14	Female	Left-handed	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	17	5	9	3
f142534fbdc8f05525e44d69f5675648903ebeb8	983	10	26	4	270	339	16	7	0.3333333	15	9	6		1470.77	1236.09	234.68	488	748.09			234.68		32.52562	41.14563	0	0.0625	0	0.1875	0.75	0.5	19	2	3	109	98		207	0.289	0.202	0.236	0.224	Yes	No	Somewhat disagree	Somewhat disagree	Somewhat agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Disagree	Agree	Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Every day, for 1-3 hours	Sometimes	A frequent video game player	Yes	A	It wasn't on my mind much, I had other homework to do that was more important to my grades in school	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	22	16	Male	Right-handed	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	24	10	8	6
8fc2e33605f47244bd5e566654dd9581ce70c1c7	450	17	19	0	50	127	10	1	0.047619	9	9	0		1379.74	1212.84	166.9	1212.84				166.9		61.632	56.479	0	0.1	0	0	0.9		9	0	0	109	8		117	0	0	0	0	Yes	Yes	Somewhat agree	Somewhat agree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Neither agree nor disagree	Neither disagree nor agree	Agree	Disagree	Strongly Disagree	Agree	Neither disagree nor agree	Neither disagree nor agree	Strongly Agree	Disagree	Agree	A few times a month	Frequently	An occasional video game player	Yes	A	The levels get harder, and everytim I try to fix my answer, I can't find whats wrong.	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	18	15	Female	Right-handed	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	13	4	4	5
8291ca26f6c191e3ef73734afdf522c566e1d6e5	1351	20	37	54	237	460	26	17	0.8095238	24	9	9	6	3210.45	2715.57	494.88	583.46	1268.73	863.38			494.88	39.10884	38.35423	0.0384615	0.0384615	0.0384615	0.3076923	0.5769231	0	26	2	0	94	111	99	304	0.318	0.63	0.653	0.625	Yes	Yes	Somewhat agree	Somewhat agree	Somewhat disagree	Somewhat agree	Somewhat disagree	Somewhat disagree	Disagree	Strongly Agree	Agree	Neither disagree nor agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	A few times a week	Sometimes	A novice video game player	Yes	A		1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29	15	Female	Right-handed	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	27	7	10	10
08bf99a4fa7f3598061d191434db3a310999878e	1395	14	49	85	153	451	24	15	0.7142857	15	9	4	2	2567.63	1304.85	1262.78	692.85	518.1	93.89999		1168.94	93.84	35.43375	40.32292	0.2083333	0.0833333	0	0.0416667	0.6666667	0.25	27	12	3	114	117	39	270	0.283	0.14	0.171	0.156	Yes	Yes	Somewhat disagree	Somewhat agree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Disagree	Strongly Agree	Agree	Agree	Neither disagree nor agree	Disagree	Disagree	Disagree	Disagree	Disagree	About once a month	Never	A novice video game player	Yes	B	I just find it a little boring. I mean it stresses me out sometimes and it's a bit fun to want to figure it out. But it's not something I would want to keep doing or something on a daily basis.	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	20	16	Female	Right-handed	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0	19	6	10	3
