	total_events	total_breaks	total_submit	total_snapshot	total_view	total_manipulate	n_puzzle	n_puz_no_basic	p_puz_no_basic	n_complete	n_tutorial	n_interm	total_active	complete_active	incomplete_active	tutorial_atime_comp	cumu_a_time	persistence_score	non_per	productive	unproductive	rapid	no_beh	avg_revisit	n_attempt	n_failed_att	revisits	diff_event1	diff_event2	different_event	gender_number	hand_number	enjoyment	sbst	sri
total_events	0.0	0.0004	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0005	0.0193	0.0028	0.0	0.0	0.0	0.0039	0.1504	0.0786	0.8567	0.063	0.2201	0.1194	0.0998	0.0	0.0	0.0	0.0	0.0005	0.0002	0.0	0.5284	0.4204	0.0351	0.9983	0.6857
total_breaks	0.0004	0.0	0.0	0.0272	0.212	0.0	0.0005	0.0005	0.0005	0.0387	0.0247	0.2417	0.0	0.0	0.0	0.0	0.1226	0.3057	0.3959	0.3622	0.5768	0.0647	0.3709	0.0062	0.0044	0.0068	0.0286	0.0142	0.0249	0.0004	0.4505	0.9747	0.0938	0.4538	0.896
total_submit	0.0	0.0	0.0	0.004	0.0051	0.0	0.0	0.0	0.0	0.0139	0.0196	0.0566	0.0	0.0	0.0	0.0	0.2765	0.3095	0.5718	0.4139	0.2289	0.1377	0.2813	0.0004	0.0	0.0	0.0001	0.001	0.0006	0.0	0.5777	0.8043	0.0817	0.382	0.3995
total_snapshot	0.0	0.0272	0.004	0.0	0.0	0.0	0.0049	0.005	0.005	0.0002	0.0211	0.0015	0.0	0.0	0.0062	0.0402	0.1125	0.0499	0.383	0.0148	0.73	0.2554	0.1266	0.0001	0.0	0.0	0.0	0.0081	0.0031	0.0	0.4057	0.2359	0.0133	0.3879	0.1265
total_view	0.0	0.212	0.0051	0.0	0.0	0.0	0.0143	0.0172	0.0172	0.0014	0.0276	0.0037	0.0001	0.0001	0.0081	0.1151	0.091	0.0234	0.2629	0.0083	0.2584	0.2425	0.0551	0.0002	0.0	0.0001	0.0	0.0028	0.0035	0.0	0.4468	0.032	0.0718	0.8646	0.484
total_manipulate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.014	0.008	0.0	0.0	0.0	0.0008	0.2166	0.159	0.7931	0.1387	0.2281	0.1201	0.1187	0.0001	0.0	0.0	0.0	0.0008	0.0004	0.0	0.6458	0.8612	0.0495	0.9437	0.6442
n_puzzle	0.0001	0.0005	0.0	0.0049	0.0143	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0001	0.0002	0.1571	0.2619	0.1959	0.15	0.4079	0.6365	0.6497	0.7125	0.0339	0.0	0.0005	0.0066	0.0097	0.0	0.0	0.9174	0.7254	0.0286	0.4006	0.2068
n_puz_no_basic	0.0001	0.0005	0.0	0.005	0.0172	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.0	0.0001	0.0002	0.2097	0.1251	0.09	0.0706	0.2565	0.4867	0.9583	0.7373	0.0597	0.0	0.0004	0.0056	0.0493	0.0	0.0	0.7456	0.5717	0.0245	0.3192	0.1612
p_puz_no_basic	0.0001	0.0005	0.0	0.005	0.0172	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.0	0.0001	0.0002	0.2097	0.1251	0.09	0.0706	0.2565	0.4867	0.9583	0.7373	0.0597	0.0	0.0004	0.0056	0.0493	0.0	0.0	0.7456	0.5717	0.0245	0.3192	0.1612
n_complete	0.0005	0.0387	0.0139	0.0002	0.0014	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.1162	0.43	0.6913	0.7072	0.1331	0.8794	0.165	0.3611	0.1621	0.0159	0.0006	0.0337	0.0177	0.0648	0.0	0.0	0.3364	0.3975	0.0043	0.002	0.0009
n_tutorial	0.0193	0.0247	0.0196	0.0211	0.0276	0.014	0.0015	0.0056	0.0056	0.0	0.0	0.0002	0.0032	0.0003	0.1655	0.0089	0.2837	0.3275	0.0489	0.1309	0.122	0.6475	0.4889	0.0154	0.037	0.2378	0.1734	0.0008	0.0	0.0002	0.8921	0.9458	0.0445	0.1567	0.0307
n_interm	0.0028	0.2417	0.0566	0.0015	0.0037	0.008	0.0	0.0	0.0	0.0	0.0002	0.0	0.0062	0.0003	0.3022	0.9872	0.3354	0.4058	0.1129	0.4074	0.1895	0.1382	0.0571	0.0308	0.0028	0.0724	0.0399	0.2471	0.0	0.0	0.2007	0.3102	0.0431	0.0011	0.0028
total_active	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0005	0.0032	0.0062	0.0	0.0	0.0	0.0	0.0611	0.0817	0.9311	0.0688	0.387	0.0563	0.1494	0.0	0.0	0.0	0.0	0.0003	0.0001	0.0	0.4665	0.5537	0.0363	0.7742	0.7938
complete_active	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0001	0.0001	0.0	0.0003	0.0003	0.0	0.0	0.0005	0.0	0.0572	0.0875	0.5396	0.0326	0.8234	0.1836	0.3031	0.0006	0.0004	0.0037	0.0058	0.0015	0.0	0.0	0.4847	0.2382	0.0309	0.6496	0.2137
incomplete_active	0.0	0.0	0.0	0.0062	0.0081	0.0	0.0002	0.0002	0.0002	0.1162	0.1655	0.3022	0.0	0.0005	0.0	0.0007	0.176	0.1821	0.322	0.3363	0.0313	0.0286	0.105	0.0002	0.0	0.0	0.0	0.0019	0.0127	0.0	0.5587	0.7555	0.1427	0.2288	0.2787
